Gold Category	Preticted	Utterance
+	-	Wes Craven has been created a most successful killer-thriller movies of all time. After watching he's movies, you will find your new fears. People don't know, which Wes Craven's thriller movie is the best, because they all different.<br /><br />In this movie, Lisa is terrorize by fellow-traveler. He coercible her to kill and if she don't do this, Jack will kill her father. Lisa is in the huge mess, because whatever she choose, she will kill.<br /><br />Acting was unreal. Rachel McAdams and Cillian Murphy acted unbelievable good. The emotions was in right choose. Idea and script of this movie is great too...<br /><br />Sometimes it reminds a ""Scream"", but he definitely better, than both ""Screams"" sequels together.<br /><br />And what can I say - this is the best killer-thriller movie in 21's century yet... 
+	-	I heard about this movie when watching VH1's ""100 Most Metal Moments."" On the segment, Gene Simmons (who played a cameo) and several other interviewees discussed how utterly awful this movie is. Unlike most people, I'm often more curious about checking out movies that have reputations for being ridiculously bad than, say, a masterpiece of cinema. The advantage of having that sort of attitude is half the time I find out that the movies are nowhere near as bad as people said, and I end up enjoying them a lot more than I initially expected. That was my experience with ""Trick or Treat."" Now, it's hard to make a movie about a teenage boy who receives messages from a dead heavy metal star by playing one of his vintage records backwards without people scoffing at the premise. Sure, it's certainly a strange premise, but one that's never been done before! Give the filmmakers points for originality for Pete's sake! If you're looking to buy the DVD, having no prior knowledge of the movie, don't be fooled into thinking Ozzy Osbourne and Gene Simmons are the stars. However, though Simmons has a thankless role, Ozzy does have a funny cameo as a Reverend (that's right, a Reverend!!) who speaks out against heavy metal. For one thing, it's funny seeing Ozzy with short hair. And for another thing, you can't help but laugh at the irony. Sure, it's a cheap shot, but an effective one. The acting is pretty good. I found the performances convincing. The teen characters are horribly clichéd. So expect the usual array of jocks and nerds. And like in every one of these movies, the pretty girl is a decent person who has sympathy for the alienated main character, yet continues to go out with her jock boyfriend. Why's she going out with such a complete jerk in the first place? Because the plot needs an obstacle. No other reason. But I can't deny that one of my guilty pleasures is watching the evil jocks in these movies go down, since I was an outcast in high school. The movie kept my interest for the most part, but the third act is way too conventional and caused me to roll my eyes as there would be one predictable situation after another. But altogether the film is not at all bad and definitely worth viewing on a rainy day. (7 out of 10) 
+	-	This was the funniest piece of film/tape I have ever witnessed, bar none. I laughed myself sick the first three times I watched it. I recommend it to everyone, with the warning that if they can't handle the f-sharps to stay FAR away. At his best when telling stories from a kids point of view. 
+	-	Its no surprise that Busey later developed a tumor in his sinus cavity, this film is also a poor decision, but one I enjoyed fully. The first 5 minutes is the most uninspiring 5 minutes in any film; boring, bad dialouge, and then, with a Spiderman stance, Busey yells the best-worst line in any film ever created...""your worst nightmare butthorn!"" I coughed up some of my egg nog laughing so hard. That line resonates so well, it even tops Clooney's infamous ""hi Freeze, I'm Batman"" line. Other classic moments is Busey constantly getting upset for people reminding him that he got his ex-CIA partner killed...which he did by accidentally shooting him in the chest (all made possible by a super slow-motion flashback sequence that makes watching paint dry seem exciting). There's an ashtray to the nads, punches to the face, and a ""that wasn't my fault and you know it!"" Well, the footage shows him missing the bad guy and hitting his buddy, so... Other scream out-loud moments has to be his ex girl-friend dropping a grenade to the ground to enable his escape--a plan that defies all logic, physics, and absurdity. And lastly, when McBain jumps out of the Thunderblast during intense guerrilla warfare and starts to run and hurdles a small object, I almost wet myself. Some of Busey's best work by far, rent or buy it today ""butthorn!"" My vote is a perfect 10 (on the poo meter that is). 
+	-	This episode of Twilight Zone combines a silent section (1890) with melodramatic acting and sight gags, an homage to the early Buster Keaton films. Lots of slapstick: Buster falling on a bulkhead door, falling in a puddle, running around pants-less. Silly scientist's invention of a Time Helmet, reminiscent of a Flash Gordon idea of what the future would be. Cheap prices, like $1.95 for ladies hats, or 17 cents a pound for beef seem outrageously high to Buster. Even the world of 1890 is too much for Buster/Mulligan. How shocking when he is mistakenly transported to the ""modern"" world of 1960! Buster was trying to go backwards! The ""scientist"" of that time wants to return to a calmer world, the 1890 that he has studied and admired. They go back together, and Buster/Mulligan is now happy and the ""scientist"" regrets not having electronic equipment, modern beds or an electric blanket. So Buster sends him back with the crazy helmet.<br /><br />This Twilight Zone doesn't have a heavy message. Since Buster Keaton died in 1966, it is one of his last efforts. That's enough.<br /><br />One other cute thing--longtime underutilized Maytag Man Jesse White is a repairman who fixes the Time Helmet--foreshadowing his washing machine career. 
+	-	Soapdish may go down as one of the single most under-rated movies ever made.<br /><br />A stellar, unselfish cast who understood exactly where the movie was going and the roles they played in it. While everyone hammed it up, there was no one-upmanship. Kline showed wit and great physical comedy, Goldberg and Downey knew how to carry on a funny conversation while someone else was talking, I could just go on.<br /><br />Do not pass this movie by! 
+	-	In the middle of The Hole I e-mailed a friend of mine to summarize it. Not sure if the film would break down into a series of submissive gestures, I felt a little un-easy recommending it, but then I saw the ending. It's perfect. I've been living in Korea for 6 months, and this film could just as easily summarize the strange ennui and frustration of any Asian metropolis as it takes on Taiwin here. It uses the myth of Hong Kong musicals the same way Godard or Hartley use Western musicals, but takes it to an extreme, it's gritty world and occasionally Kafka-esquire logic make it all the better. I really feel like The Hole's closest comparison is Hal Hartley's Surviving Desire, but have a kinda bleak edge to what are ultimately hopefully and strangely metaphorical films. Anyway, this is what I wrote to Esther. Hope you like The Hole too.<br /><br />Hey,<br /><br />watching a move called the hole. Taiwanese I think seems a bit to weird for china unless it's hong Kong. it's worth seeing so far. it's about a guy and a girl in an apartment complex. the guy's ceiling caves in and the girl starts to get annoyed and well it's kinda a weird metaphor for the simultaneous pleasure ,degregation, and pain of a rather intense crush. there's also a kinda zombie-virus-sub-plot too and a lot of weird little scenes where the girl acts out her desires through rather innocent and kinda fun 50's doo-wop sequences. worth a look. 
+	-	A film destined to be on late-night TV long after the present instant ""money-makers"" have long been forgotten. Perhaps a little too subtle for today's youngsters, but in time they'll grow into an appreciation of this movie. 
+	-	Dick Tracy wasn't the best for many comic book fans, because they wanted something with blood like Batman. Dick Tracy plays the innocence of just being a comic book with villains that have severe appearance disorder and being fun. Warren Beatty directs and stars as the main character that fights crime without even using super powers. I have liked Dick Tracy since I was a child because of the comic atmosphere of the main colors: red, blue, orange, yellow, green and black. This is the perfect film for anybody to watch with their children. Al Pacino is like the Jack Nicholson in Batman and plays Big Boy Caprice with zest. Madonna as the babe who is the second villain in this film doesn't play the same boy toy she represents. Like I said, no blood, obscenities, sexually innuendo or anything to offend anybody. 
+	-	Superbly trashy and wondrously unpretentious 80's exploitation, hooray! The pre-credits opening sequences somewhat give the false impression that we're dealing with a serious and harrowing drama, but you need not fear because barely ten minutes later we're up until our necks in nonsensical chainsaw battles, rough fist-fights, lurid dialogs and gratuitous nudity! Bo and Ingrid are two orphaned siblings with an unusually close and even slightly perverted relationship. Can you imagine playfully ripping off the towel that covers your sister's naked body and then stare at her unshaven genitals for several whole minutes? Well, Bo does that to his sister and, judging by her dubbed laughter, she doesn't mind at all. Sick, dude! Anyway, as kids they fled from Russia with their parents, but nasty soldiers brutally slaughtered mommy and daddy. A friendly smuggler took custody over them, however, and even raised and trained Bo and Ingrid into expert smugglers. When the actual plot lifts off, 20 years later, they're facing their ultimate quest as the mythical and incredibly valuable White Fire diamond is coincidentally found in a mine. Very few things in life ever made as little sense as the plot and narrative structure of ""White Fire"", but it sure is a lot of fun to watch. Most of the time you have no clue who's beating up who or for what cause (and I bet the actors understood even less) but whatever! The violence is magnificently grotesque and every single plot twist is pleasingly retarded. The script goes totally bonkers beyond repair when suddenly  and I won't reveal for what reason  Bo needs a replacement for Ingrid and Fred Williamson enters the scene with a big cigar in his mouth and his sleazy black fingers all over the local prostitutes. Bo's principal opponent is an Italian chick with big breasts but a hideous accent, the preposterous but catchy theme song plays at least a dozen times throughout the film, there's the obligatory ""we're-falling-in-love"" montage and loads of other attractions! My God, what a brilliant experience. The original French title translates itself as ""Life to Survive"", which is uniquely appropriate because it makes just as much sense as the rest of the movie: None! 
+	-	Though for most of us, sexiness is a variable quality, I cannot recall a movie that did for me what this one does. It transported me into an awfully familiar realm of longing and desire. All the compulsive attraction, uncertainty over the outcome, the palpable fear and excitement so attendant to that state of arousal were brought to fever pitch by this flick. So French and what I consider daring! No matter what your orientation, I think that the danger of chasing your desire is brought full-front and center here...much more so, say, than with Kubrick's ""Eyes Wide Shut"". 
+	-	If you want Scream or anything like the big-studio horror product that we get forced on us these days don't bother. This well-written film kept me up thinking about all it had to say. Importance of myth in our lives to make it make sense, how children interpret the world (and the violence in it), our ransacking of the environment and ignorance of its history and legends.. all here, but not flatly on the surface. You could technically call it a ""monster movie"" even though the Wendigo does not take physical form until the end, and then it's even up to you and your beliefs as to what's happening with the legendary spirit/beast. Some standard thriller elements for those looking just for the basics and the film never bores, though in fact the less you see of the creature, the better. Fessenden successfully continues George Romero's tradition of using the genre as parable and as a discussion forum while still keeping us creeped out. 
+	-	As with a bunch of guys at school we must give this a thumbs up. Even the Grim Ripper made us smile. Those two alien things made me laugh, Bill and Ted were the stupidest yet the funnest in the entire movie. This is a lot better than the first one. And yet for some reason I feel that it misses something. Something big. Something important. Made a better house and girlfriends. No, I'd say better villains. Use clones instead of robots.I gave this a 7 out of 10 because of those two robotic doinks.<br /><br />The Grim Ripper, don't be scared he's not the deathy kind, is funny. When he fell from the sky I split a gut. Splat, I'm not sure about those aliens. What where they? Scientists? No way. 
+	-	Herbet Clutter, wife Bonnie, and their teenage children Kenyon and Nancy were much liked and respected in their tiny town of Holcomb, Kansas--but in the early hours of 14 November 1959 all four were brutally murdered. Rather unexpectedly, the crime made an impression on author Truman Capote, who rushed to the scene and followed the course of the case to its conclusion. The result was the book IN COLD BLOOD. Controversial, shocking, and exceptionally well-written, it became an international best seller and it remains a touchstone for crime writers to this day.<br /><br />The 1967 film version of Capote's work is almost as remarkable as the book itself. Filmed in black and white in many of the real-life locations, it has a slightly documentary quality, icy and detached--and the overall cast is exceptional. This is the film on which Robert Blake's reputation as an actor rests, and deservedly so. As killer Perry Smith, Blake traps you between a profound distaste and the shock of unexpected sympathy; it is a masterful performance from start to finish. As Richard Hickock, Scott Wilson is no less fine.<br /><br />Like Capote's book, the film opens with Smith and Hickock as they travel to Kansas and brings them to the Clutter home--only to suddenly flash past the crime to detail the investigation that finally resulted in their arrest and conviction. The centerpiece of the film has always been the moment at which we at last see what occurred in the Clutter home; actually filmed in the Clutter house itself, it is a spinechilling sequence, horrific and deeply disturbing.<br /><br />Director and writer Richard Brooks guides the film with a very powerful sense of deliberation, erring only in the sense that he allows the film to become slightly preachy. Given the overall power of the film, however, this becomes a trivial annoyance. Strong stuff--and recommended.<br /><br />GFT, Amazon Reviewer 
+	-	It's initial premise is based on the American Civil War but it's ultimately a love story. We start at the beginning of the war where the main characters (Kidman & Law) are obviously aware of each other and there's an obvious attraction, they have a passionate kiss on the day he leaves for the war. The main thrust of this film is for Law's character to return to Kidman's and his struggles to achieve that and her struggles to survive until he returns. The reason it fails to convince is that we don't see enough of this relationship before Law's character leaves for battle - it's difficult to believe the premise that 2 people yearn for each other so much given they've had so little contact. Everything else is just about fine, Renee Zellweger and her incumbent father and his entourage are lovely additions as is the threat from the gang chasing deserters. Sure it's a long film but it does hold the interest and the cinematography is great. An honourable attempt that doesn't quite make it but worth a watch nonetheless. 
+	-	It's become extremely difficult to find a good horror movie anymore, thought this movie was a good thriller.<br /><br />Could have had better production values but what kept me going was the suspense and the twists. I had real reservations before seeing this movie (because of the cover). I was afraid that it would be excessively bloody and gory. I was wrong.<br /><br />Although there is a lot of scary parts, there is a lot of suspense and drama too.<br /><br />The acting in Dead Line was better than what you would expect from a micro budget horror flick. The characters were believable<br /><br />The movie is really thrilling and quite scary at moments so it makes you grab your seat until the ending credits roll<br /><br />Because of its production values (the sound is not very good for example) 8/10. 
+	-	It doesn't matter whether you've experienced the plight of the elderly in America or if you're just plain clueless, Uncle Frank and Matthew Ginsburg give you that clue in a straight forward, funny, wake up and smell the roses sort of way. By the end of the film, it is obvious that while being totally entertained, somehow, you've also been educated. A terrific film, by a terrific up and coming talent in the movie field. Matthew Ginsburg is a name to pay attention to. 
+	-	Despite the title, The Sword Bearer, and the DVD cover (action/herioc poses of The Sword Bearer) this is not a super hero film.<br /><br />(Minor Spoilers) It follows the tale of Sasha, The Sword Bearer, who is cursed with having a retractable sword in his forearm. Cool you say, but no, this is real life. If you had this power as a child could you control it when, say, faced by a mad man, or when your mum's boyfriend is beating her. And if you don't control it, how do you cope with being a two time killer at the age of 12.<br /><br />This essentially is where Sasha is when we meet him. Wandering aimlessly after another killing (much like A Bout de Soufflé). He then meet Katya, and the pair fall instantly in love, providing Sasha with a real reason to live and try and changes his ways. However, his past is still chasing him, in the form of two police officers.<br /><br />That is essentially the story, and there is virtually no action on screen, though a lot if suggested.<br /><br />I really like this movie. Unlike many Hollywood 'super hero' films, we get very little back story, there is no bad guy (unless you count The Sword Bearer himself) abut there is a lot of heart and good character development.<br /><br />Worth checking out if you can find it. 
+	-	This is a very grim, hard hitting, even brutal film about a death row break that goes awry. It's black and white photography keeps it from being dated. Mickey Rooney is excellent as the twisted, yet strangely sympathetic lead. One of the first movies to portray the psychological desolation of death row. It is also quite poignant. 
+	-	Right at this moment I am watching this movie for the second time (on television) and for the second time I fell into it when it was running for an hour already (I think I saw 2 minutes more this time) This movie is really impressing, the way Goldsworthy looks at nature, changes nature in a way that you yourself would never think of, really is amazing. This whole movie gives you a warm feeling, seeing him play with the world around him with such love. Or only seeing his hands, covered in dirt and with broken fingernails, it just touches you. 
+	-	I finally watched the third film in Mehta's trilogy: ""Fire"". To begin, I'd say that ""Water"" was the unquestionable masterpiece, on all levels. Fire comes next with Earth close behind in order of quality. Fire: there is so much going on in this film that I'll need a few more viewings to drink it all in. The writing is superb, the script creating friction that starts the entire process of ""heat"" from the beginning until the end when it really does erupt into a fire, the conflicts moving into complete rupture of relationships. <br /><br />Mehta is one brave lady: she sees with a clear eye much that is jaundiced, false and repressive about the great society from which she came from. India is rapidly changing these days but much of this is economic change. That she met with such ferocious opposition to the making of ""Water"" after having had the script cleared, shows that there are still many taboo subjects which Indian people more than less cannot look squarely in the face, cannot examine or discuss them. Worse, if someone like Mehta has the courage to hold up a mirror to these issues, she faces death threats. So, as much as India thinks of itself as a pluralistic, tolerant society, the facts are not always so. Whereas ""Earth"" was merely a historical setting of the carnage of the civil war after Indian independence, Fire and Water are pointing at personal, social and religious issues, which as I say are considered so strongly (in a negative sense) that an open artistic dialog is still many years away. As I write this ""Water"" is scheduled to actually be shown in India later this year. I'll believe it when I see it. <br /><br />Fire confronts a similar sexual and emotional conundrum that I saw in ""A price above rubies"". Whether it's arranged marriages (which it used to be like among Jews about 150 years ago, or like it is among many modern Indians), they have the risk of having a bad match forced upon both men and women; or, just plain loveless marriages..... However, this is not the real issue. Mehta is clearly impatient with the totally rigid religious attitudes that either keep widows in misery (Water) or else keep women enslaved to loveless marriages (Fire). I am no expert regarding either the secular or Hindu laws concerning divorce. The film seems to imply that the stigma (of divorce)is almost as bad as the sad marriage. In any case Mehta's film is a very moving, powerful attempt at sexual discourse that holds modern Indian relationships up to probing scrutiny. That all three of these films have made themselves felt in India as an unwarranted attack on their culture sounds to me like the predictable clamor of a repressive mindset. Mehta is forcing the issues to be looked at no matter how much flack. I admire her work and cannot highly recommend her films enough. Superb, disturbing, provocative, taboo shattering. 
+	-	Edward Dmytryk directed this shadowy movie about a murder investigation involving demobilized military personnel. Robert Young gets to lecture us about hatred, Robert Mitchum walks through most of this picture, and Gloria Grahame revisits the feistiness she exhibited in ""It's A Wonderful Life."" It's Robert Ryan who gets at the heart of the matter: anti-semiticism. He goes so deep into his role as Monty Montgomery (Imagine parents named Lawrence calling their son Larry!), that the drama sits squarely on his shoulders, and he is more than up to the challenge. Without him, the movie would be commonplace. Ryan has played a number of memorable villains in his day (""Bad Day at Black Rock;"" ""Billy Budd""), but this performance put him on the map. With Sam Levene as the murder victim. 
+	-	We watched this in my Women's Health Issues class to point out how women are treated inferior to men in many societies, and I absolutely loved this movie. I plan on trying to get a copy of it myself to watch. The story is very touching and I would recommend it to anyone. I am a fan of different cultures and this movie was just what I needed. This is a movie for the whole family despite its rating. This is a movie I will show to my children. The professor of our class meant for the movie to primarily be a too to educate about women, but this movie was more than that. It is one of those movies that will forever stick out in my mind and will be a favorite. 
+	-	There should be more movies about our Native Americans. I especially think that using actual real Native Americans, would be the the right thing. I know that this Archie Belaney, who was played by Pierce Brosnan he did an excellent job in portraying that character, since he was an Englishman. But my suggestion to Hollywood, is to put more American Indians into the roles, and never use anyone else. The Sioux Nation has been put on the back burner far too long. Their poverty is a disgrace to our country. It is my firm belief that our country should return the Black Hills to the Sioux. We ask Israel to return their lands to the Arabs, but we do not make any effort to do the same, we should be ashamed of ourselves. We must practice what we preach! 
+	-	With the war not going well for the Soviet Union, Stalin accepted volunteers from the prisons and used the prisoners as shock troops. This is the story of one such battalion. There are petty crooks, political prisoners, soldiers kicked out of other units, gray-haired veterans of the White Army plus some dangerous criminals.<br /><br />They are thrown into battle ill-equipped, untrained and face the threat of the NKVD if they show signs of cowardice or failure.<br /><br />The special effects are rudimentary and many of the minor characters are one-dimensional, but the overall story is very human and riveting.<br /><br />I have not seen a version with subtitles or dubbing. Viewing the show required liberal use of the pause button and explanations from a native speaker of Russian. 
+	-	I really enjoyed this movie and it was a little difficult do that when your brother is making stupid comments in it ever 30 seconds. But this movie I enjoyed, mostly because I'm used to the usual HK action films. Most of the films like this are don't watch it for the story line, watch it for the mindless action. And mindless action is right. You get to see Jet Li Jump, spin, kick, punch, shoot, make impossible jumps and dodge countless bullets. It's true that this movie was released to a broader audience after Li was in Lethal Weapon 4. That is one of the reasons the ratings on this movie dropped. Most people were probably expecting to see a movie that was as polished as a North American film. But you need to remember most HK film budgets aren't nearly as high as a North American film, and the style in a HK action film is usually very different usually requiring in wire work in a lot of them. If you want to see a good action film you should see this just try to ignore the dubbing.<br /><br />My rating was an 8. 
+	-	I have to say this movie is absolutely amazing. I don't understand why it got such a low rating. It has romance, music, darkness and vampires. Also Stuart Townsend did a great job of being Lestat, the acting was great. Also, normally I am not into that music, well sometimes. But I have to say in this movie the music fit it perfectly. If you like dark movies about vampires this is definitely for you or even if you don't there is a love story to this.But,all I can say is one word: Amazing! My Rating is defiantly: 10 out of 10. Anyway, I seriously suggest you watch it. I remember not seeing this for years, I watched it again about a year ago and im addicted to it again. lol. Great movie!!! 
+	-	Feisty Dianna Jackson (a winningly spunky performance by gorgeous former ""Playboy"" Playmate Jeanne Bell) goes to Hong Kong to take out the evil heroin ring that murdered her brother. Dianna's assisted by friendly karate master Joe (amiable Chiquito), faces opposition from undercover narcotics agent Elaine (lovely, buxom blonde babe Pat Anderson), and romances cocky, ruthlessly ambitious Charlie (essayed with supremely arrogant aplomb by Stan Shaw) while plotting her revenge against nefarious drug kingpin Sid (an effectively slimy Ken Metcalfe). Director Cirio H. Santiago, working from a blithely trashy script co-written by none other than Dick Miller (!), crams the lively and eventful 72 minute running time with a plethora of gratuitous distaff nudity and loads of badly staged martial arts fight scenes (Bell is clearly doubled by a squat guy wearing a giant Afro wig!). The definite sleazy highlight occurs when a topless Bell singlehandedly beats up a bunch of thugs in her hotel room. Felipe Sacdalan's raw, grainy, scratched-up cinematography, the clumsy use of strenuous slow motion, the funky-groovin' score, the laughably inept fight choreography, and the surprisingly gruesome conclusion add immensely to the overall scuzzy fun of this deliciously cheesy grindhouse exploitation hoot. 
+	-	Scott Henderson, the engineer that employs Carol Richman, as his assistant, makes a point to call her ""Kansas"", whenever he speaks to her. It shows us that Carol, effectively played by Ella Raines, is supposed to be a babe in the woods, as far as the Manhattan of the 40s was concerned. Only a woman, from out of town, would follow the shady bartender to a solitary elevated subway. Even then, only a naive girl could undertake such an adventure.<br /><br />Robert Siodmak directed this film noir very well. He shows a flair for infusing the story with a lot of raw sex that was surprising for those days. How else could we justify the way the drummer in the orchestra of the musical, where Scott takes the mysterious woman with an unusual hat, makes such an overt pass at a lady on a date? The drummer played with high voltage by Elisha Cook Jr. doesn't hide his desires for any of the ladies who sat in the front row of the hit musical where he plays. It was a real explicit invitation, first to the ""phantom woman"" of the story, Fay Helm; afterward, Cliff the drummer, insinuates himself very openly to Ella Raines who goes to the theater disguised as the mystery dame her boss had taken originally.<br /><br />This is a film that will hook any viewer from the beginning. There are things not explained in it, but it holds the one's interest throughout. The killer is not revealed until the end. <br /><br />Ella Raines with her expressive eyes was an under estimated actress. She holds her own against much more experienced actors. Franchot Tone, a New York stage actor, working in Hollywood, never found in this medium the fame he deserved. He is effective as the accused man's best friend. On the other hand, Alan Curtis, comes across as a man, who when framed, accepts his fate and is saved only by the tenacity of the woman who secretly loved him. Thomas Gomez, as the inspector Burgess, is an asset to the film as a detective who has his doubts the police had caught the man who committed the crime.<br /><br />This movie will not disappoint. 
+	-	This movie is so wonderful, it's hard to find words to describe it. This is the only time I can't decide which was better, the book or the movie.<br /><br />Whoopi Goldberg is awesome, and Oprah Winfrey, such a good actress, she could be funny, happy and miserable all at the same time. All together the movie was well directed by Steven Speilberg, and should not be passed up. 9/10 
+	-	Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way. Jack Torrance is a man in his forties, married, with one child, and with a past of trouble and alcoholism. The Overlook Hotel in Colorado suspends service during the winter because of its extreme weather, and there is a well-paid job for the person who takes care of the facilities during those five months; and Torrance, who was looking to become a writer, found it perfect. But, the manager advised Torrance about the loneliness in this place during the winter, potentially dangerous, and told him that some caretaker in the past went crazy and murdered his family. Even before they got there, his son Danny, who has some sort of imaginary friend who illuminates him the future (shinning), knew the place wasn't good and didn't want to go. Once they installed themselves in the hotel, things started right but within a month, Jack began acting strange, irritated, and depressed. At this point, we know something is going to happen, but don't know when and how. Scary things happen such as the appearance of two twin girls talking to Danny, and someone who attacked him violently. They are not alone in this place. Later on, Jack started to see other people and immediately felt good with them, like if they were his family; among them the famous psychotic caretaker, Delbert Grady. Grady tells Torrance that he must kill his family because they are ""intruders"" in the hotel. Obeying this order, Jack went for the objective and many of the most scary things I've ever seen happen here. The ending is spectacular and the viewers will stay interested and shocked until the last minute. 
+	-	Depardieu's most notorious film is this (1974)groundbreaker from Bertrand Blier. It features many highly sexual scenes verging on an X-rating, including one of Jeanne Moreau doing a hot 1970s version of her Jules and Jim menage a trois with the two hairy French hippies (Depardieu and Deware). There is no such thing as a sacred territory in this film; everything is fair game.<br /><br />It's very odd that Americans tend to not like this film very much while many French people I've met consider it a classic. Something about it goes against what Americans have been programmed to 'like.'<br /><br />Gerard and the late Patrick Deware are two bitch-slapping, hippy drifters with many sexual insecurities, going around molesting women and committing petty crimes. They're out for kicks and anti-capitalist, Euro-commie, slacker 'freedom.' Blier satirizes the hell out of these two guys while at the same time making bourgeois society itself look ultimately much more ridiculous. Best of all though, is the way the wonderful Stephane Grappelli score conveys the restless soul of the drifters, the deeper subconscious awareness or 'higher ideal' that motivates all the follies they engage in. 
+	-	I must admit, I liked this movie, and didnt find it all misogynist. It could be subtitled, three ways of looking at LiV Tyler. Three different men become obsessed with the same woman,and tell their stories to very different characters;One man(John Goodman) tells his story to a priest(the very funny Richard Jenkins).For Goodmans charcter, the Liv Tyler character is an idealized saint, the second coming of his sainted wife,Theresa.For Paul Riesers character(who tellls story to a shrink(a fine, understated performance by the great Reba Mcintire),the Liv Tyler character is simplyan object of (kinky)sexual fantasy.Finally Matt Dillons rather dimwitted charcter tells HIS side of the story to a sleazy hit man, played by Micheal Douglas.All three of these narratives of obsession are told simultaneously,and all are amusing. Finaly the film ends in a bizarrely funny climax, that I wont give away. 
+	-	Delirious, near plot-less mood piece and if it's more LSD inspired than the Devil then we must remember when it was made! After a startling SM opening (which even itself is not what it seems) we move to soft focus and dream or imaginings or remembering. Lots of literary and cinematic references and indeed this is the Franco film that Lang himself praised. Beautiful and mesmerising the film unfolds at a leisurely pace but has a richness within each fold. A rare movie to languish within. Old Jess could make 'em when he tried. Fine central performances too including the indomitable Jack Taylor and Howard Vernon. I haven't even mentioned the Lisbon locations - ah! 
+	-	""Tourist Trap"" is among my favorite late 70's/early 80's horror flicks. A group of young people are heading somewhere, one pair in the car ahead, & that car has a flat, and our film opens with the young man, Woody, pushing the tire along looking for a service station. He finds a seemingly abandoned place, and yet hears voices and investigates, and ends up with a piece of pipe through his stomach for his efforts. Along comes the rest of the young folks (in a VW Thing) and they pick up Woody's girlfriend, and find this very same place, Slausen's Oasis, or some such thing..and then Mr. Slausen happens along while the girls are enjoying a dip in the stream. Of course, the VW Thing has mysteriously died at that point, so odd Mr. Slausen (Chuck Connors) offers his help. Mr. Slausen has a museum, with lots of wax figures, and he lives in the museum but behind is a big house, where he says Davey lives. And who is Davey? Why, Davey Crockett, he says...but if it were Davey Crockett, they'd all probably be safer. The girls are left alone while Slausen goes to help with fixing the car, but of course curiosity gets the better of one & she goes to investigate, and finds the house full of creepy mannequins and one rather animated one named...Davey. What follows is a rather creepy night of terror as one by one, they're taken prisoner by Davey, who says he's Slausen's brother. One girl (kidnapped earlier) is treated to a plaster facial, which results in her death when it covers up her air supply. At any rate there's somewhat of a twist to this and kind (but weird) Mr. Slausen is not exactly what he appears to be. A good, creepy late 70's horror flick, and lots of mannequins make for a very creepy atmosphere. 7 out of 10. 
+	-	What can be said about Mr. Moore? He's the godfather of rap, he's the king of the Z-level blaxploitation flicks, and here, he is back as his most famous character, Dolemite! Can you dig it? This movie is one whacked-out roller-coaster ride of politically incorrect humor, trippy kung-fu, nudity, cheese, violence, and a whole lot of other stuff you'd never find in most modern movies (or any movies, really, haha!). The stand-up routine he gives early on is not to be missed! At any rate, D2 is definitely an entertaining way to waste an hour or so. Dolemite: ""He think he's bad and ain't got no class! I'm gon' rock this shotgun up his *beep* a**!"" 
+	-	After finishing the Zero Woman series, I was looking forward to the Female Prisoner Scorpion series; both based upon comics by Tooru Shinohara. Unfortunately, I was not able to see them in order, as this is the third in the series.<br /><br />It starts great as The Scorpion (Meiko Kaji) is escaping from the police. Detective Kondo (Mikio Narita) did manage to get a cuff on her, but she proceeded to cut off his arm and get away. If that isn't bad enough, later on a dog digs up the arm and is seen trotting down the street before finding a place to enjoy his treat.<br /><br />Scorpion might as well go back to prison as life is no picnic on the outside. First, a local Yakuza Tanida (v) threatens to put her back if she doesn't put out; and then the gang leader gets her when she gets rid of Tanida. But, they don't hold her for long before she escapes and is looking for vengeance.<br /><br />Soon they are dropping like flies. Some certainly deserved it for wearing garish outfits with shirt collars so big they went all the way to the shoulder. The madam (Reisen Lee) turns herself in to avoid getting killed.<br /><br />The police arrive at her latest kill and trap her in the sewer. She's in there for a week and the cops find out that a friend (Yayoi Watanabe) has been supplying her with food. (The story O Yuki (Watanabe) and her brother is a subplot that is very interesting, but only incidental to the movie.) They try to burn her out, but this is The Scorpion, and she has some unfinished business.<br /><br />Not the usual mix of sex and violence, this is a slow tale that is beautiful throughout. 
+	-	A young woman (Jean Simmons) is convinced by her scheming and dangerous aunt (Sonia Dresdel) and uncle (Barry Jones) that she's losing her mind and in very delicate condition that requires their supervision which turns out to be more like manipulation, as they try to keep her as far away from outside human contact as possible. The only other person she sees is the estate caretaker, a lascivious character played by Maxwell Reed, whose caught the wayward eye of the middle-aged aunt. All of this, the aunt and the caretaker, the butterfly expert uncle who has a serious underside to him, and the susceptible niece in the middle, would have made for a darker and more sinister film. As it is, a frame-up for a murder sends Trevor Howard (a fired government secret service agent who took a job at the estate cataloging butterflies) and Simmons across the countryside escaping police, catching headlines of ""Police Net Closing In"" over her front page photo, hopping on buses, and winding up in Liverpool, where they meet some wonderfully cast characters, and finally face down the greedy and murderous aunt and uncle. 
